n_steps,arm_a_mean_ms,arm_a_median_ms,arm_a_std_ms,arm_b_mean_ms,arm_b_median_ms,arm_b_std_ms,speedup_a_over_b,arm_a_rotation_calls,arm_b_rotation_calls,arm_a_tokens_rotated,arm_b_tokens_rotated
100,30.776526546478273,28.4552640914917,7.310278757653281,11.863780832290649,9.510255813598633,7.039893715271957,2.594158386904048,93,12,2550,96
500,111.8156753540039,109.45312118530273,6.442422589623226,31.79026870727539,31.347264289855957,1.54989997169233,3.5172925521203355,493,62,13550,496
1000,226.78450393676758,218.39820861816406,22.536625586298328,90.19053840637207,87.93088150024414,11.118520699640714,2.514504380880212,993,125,27304,1000
5000,1193.1266296386718,1122.6766357421875,150.3495690823059,348.526188659668,323.3087615966797,61.970667762495864,3.4233485702382813,4993,625,137304,5000
