evict_every,survivor_delta,arm_a_mean_ms,arm_b_mean_ms,speedup_b_over_a,arm_a_rotation_calls,arm_b_rotation_calls
2,2,619.9576629638672,366.44351348876955,1.6918232691895285,1997,999
4,4,506.4123168945313,199.8712043762207,2.533693227471144,1993,499
8,8,451.3877670288086,171.64158096313477,2.6298276006077907,1985,249
16,16,483.7661697387695,91.77102088928223,5.27144805681537,1969,124
32,32,478.2238800048828,75.01680870056153,6.374889685240678,1937,61
64,64,424.8651550292969,80.05449657440185,5.307199135709153,1873,30
