survivor_delta,evict_every,arm_a_mean_ms,arm_b_mean_ms,speedup_b_over_a,arm_b_total_tokens_rotated
2,8,493.06774139404297,126.544681930542,3.896392435240215,498
4,8,503.2299270629883,127.21891860961914,3.9556217940131004,996
8,8,477.55139923095703,130.473237991333,3.660148292346968,1992
16,8,487.40006256103516,128.34649925231935,3.797532970516353,1992
32,8,446.82716979980466,151.5863380432129,2.9476744116110725,1992
64,8,491.77445831298826,129.2821994781494,3.803883754283631,1992
